Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-12-23 00:00:00+09:00,538.95,539.13,534.55,534.65,417400,0.0,0.0
2014-12-24 00:00:00+09:00,536.35,538.02,535.78,536.89,463600,0.0,0.0
2014-12-26 00:00:00+09:00,538.77,539.24,535.17,535.17,506900,0.0,0.0
2014-12-29 00:00:00+09:00,537.13,540.03,536.99,539.22,384900,0.0,0.0
2014-12-30 00:00:00+09:00,540.58,543.08,540.28,542.97,388700,0.0,0.0
2015-01-02 00:00:00+09:00,546.01,553.78,546.01,553.73,364100,0.0,0.0
2015-01-05 00:00:00+09:00,556.45,561.25,554.07,561.25,427500,0.0,0.0
2015-01-06 00:00:00+09:00,557.31,562.1,556.39,558.9,487600,0.0,0.0
2015-01-07 00:00:00+09:00,559.91,561.95,557.56,561.32,494500,0.0,0.0
2015-01-08 00:00:00+09:00,565.19,567.21,563.63,566.43,468800,0.0,0.0
2015-01-09 00:00:00+09:00,570.79,573.36,569.62,572.99,438600,0.0,0.0
2015-01-12 00:00:00+09:00,574.43,575.57,572.27,574.76,453300,0.0,0.0
2015-01-13 00:00:00+09:00,576.05,577.85,570.3,571.0,553200,0.0,0.0
2015-01-14 00:00:00+09:00,573.3,574.7,571.66,574.17,433200,0.0,0.0
2015-01-15 00:00:00+09:00,575.25,581.39,575.06,581.39,447900,0.0,0.0
2015-01-16 00:00:00+09:00,582.31,582.49,575.7,577.41,429700,0.0,0.0
2015-01-19 00:00:00+09:00,583.59,583.59,577.94,577.94,441100,0.0,0.0
2015-01-20 00:00:00+09:00,580.14,582.28,576.2,582.27,486200,0.0,0.0
2015-01-21 00:00:00+09:00,584.34,586.04,583.64,584.34,538200,0.0,0.0
2015-01-22 00:00:00+09:00,587.17,587.42,572.68,578.42,647400,0.0,0.0
2015-01-23 00:00:00+09:00,582.77,589.31,580.78,589.31,506700,0.0,0.0
2015-01-26 00:00:00+09:00,591.2,591.82,589.0,590.34,534700,0.0,0.0
2015-01-27 00:00:00+09:00,593.19,593.23,587.7,587.84,531000,0.0,0.0
2015-01-28 00:00:00+09:00,587.77,594.4,587.0,594.39,470200,0.0,0.0
2015-01-29 00:00:00+09:00,594.74,595.42,592.66,593.12,467500,0.0,0.0
2015-01-30 00:00:00+09:00,596.94,597.28,588.97,591.58,452100,0.0,0.0
2015-02-02 00:00:00+09:00,591.75,591.75,586.87,590.27,422500,0.0,0.0
2015-02-03 00:00:00+09:00,592.35,593.56,587.34,593.31,501500,0.0,0.0
2015-02-04 00:00:00+09:00,596.53,598.53,595.9,598.23,505400,0.0,0.0
2015-02-05 00:00:00+09:00,600.87,600.88,598.14,600.81,554200,0.0,0.0
2015-02-06 00:00:00+09:00,605.86,606.13,603.93,604.13,515700,0.0,0.0
2015-02-09 00:00:00+09:00,605.88,605.88,592.69,593.75,519800,0.0,0.0
2015-02-10 00:00:00+09:00,593.91,595.14,585.35,592.95,553800,0.0,0.0
2015-02-11 00:00:00+09:00,595.97,602.25,595.97,601.41,499700,0.0,0.0
2015-02-12 00:00:00+09:00,604.69,604.69,600.02,602.24,516800,0.0,0.0
2015-02-13 00:00:00+09:00,604.76,608.45,603.94,608.07,507000,0.0,0.0
2015-02-16 00:00:00+09:00,610.59,613.72,609.29,610.16,451900,0.0,0.0
2015-02-17 00:00:00+09:00,611.92,611.92,606.46,609.1,440200,0.0,0.0
